sample,nm,period,height,gap,theta_1,theta_2,transmittance
39,1,0.6543573252,0.36718039630000004,0.1008070837,14.065152091300002,29.9331366376,0.24042168209999998
40,0,0.5920050449,0.3994953366,0.09483257099999999,13.7529117003,28.820476025300003,0.3105734045
40,1,0.5920050449,0.3994953366,0.09483257099999999,13.7529117003,28.820476025300003,0.0534809801
40,2,0.5920050449,0.3994953366,0.09483257099999999,13.7529117003,28.820476025300003,0.0759010729
41,0,0.5457282535,0.410842108,0.10030118460000001,13.7869209402,28.1522151678,0.6639033532999999
42,0,0.614629144,0.4092306769,0.0985978518,11.9230618258,29.6826969813,0.2993038131
42,1,0.614629144,0.4092306769,0.0985978518,11.9230618258,29.6826969813,0.3109756679
42,2,0.614629144,0.4092306769,0.0985978518,11.9230618258,29.6826969813,0.3594727984
43,0,0.54410513,0.3700260656,0.0936319318,11.833629504400001,28.256775487,0.6174753168
44,0,0.6374985535000001,0.3910400946,0.10689993519999999,11.5599564565,25.5134362796,0.18392608789999998
44,1,0.6374985535000001,0.3910400946,0.10689993519999999,11.5599564565,25.5134362796,0.42183536619999995
44,2,0.6374985535000001,0.3910400946,0.10689993519999999,11.5599564565,25.5134362796,0.27316385649999997
44,3,0.6374985535000001,0.3910400946,0.10689993519999999,11.5599564565,25.5134362796,0.060509235599999996
45,0,0.5788486056000001,0.3693138786,0.09255446710000001,13.7816269402,30.0050511242,0.7122663956
46,0,0.6547791615,0.37591868219999997,0.1079796567,12.386318318699999,27.3606034446,0.0965842953
46,1,0.6547791615,0.37591868219999997,0.1079796567,12.386318318699999,27.3606034446,0.0976446301
46,2,0.6547791615,0.37591868219999997,0.1079796567,12.386318318699999,27.3606034446,0.4347159515
46,3,0.6547791615,0.37591868219999997,0.1079796567,12.386318318699999,27.3606034446,0.0481934246
47,0,0.6447225701,0.3729097204,0.10668059960000001,12.4626309984,29.985950706100002,0.6803352177
47,1,0.6447225701,0.3729097204,0.10668059960000001,12.4626309984,29.985950706100002,0.24745210569999998
48,0,0.575045253,0.4034026393,0.0946632762,13.7774312867,25.691072666500002,0.3394018603
48,1,0.575045253,0.4034026393,0.0946632762,13.7774312867,25.691072666500002,0.17216758059999998
48,2,0.575045253,0.4034026393,0.0946632762,13.7774312867,25.691072666500002,0.13214753810000002
49,0,0.6230833179,0.425277817,0.09525035960000001,13.5371372521,27.960230814099997,0.7087672040999999
